Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_h3_k27m-mutant	1/3	0.017659238837871478	0.03237527120276438	101.23553299492386	408.6368427861004	H3C2
gs_ind_0	brain_glioblastoma_multiforme	1/3	0.017659238837871478	0.03237527120276438	101.23553299492386	408.6368427861004	H3C2
gs_ind_0	castration-resistant_prostate_carcinoma	2/13	0.002594392598766904	0.021710526315789475	37.03567447045708	220.52532583143486	BRIP1;RAD54L
gs_ind_0	cervical_adenocarcinoma	1/1	0.0059210526315789476	0.021710526315789475	506.23857868020303	2596.619692028008	AURKA
gs_ind_0	diffuse_midline_glioma	1/3	0.017659238837871478	0.03237527120276438	101.23553299492386	408.6368427861004	H3C2
gs_ind_0	esophagus_adenocarcinoma	1/1	0.0059210526315789476	0.021710526315789475	506.23857868020303	2596.619692028008	AURKA
gs_ind_0	esophagus_squamous_cell_carcinoma	1/6	0.03500972379933584	0.03890490204795667	46.00784494693124	154.22425120655845	AURKA
gs_ind_0	lung_adenocarcinoma	1/22	0.12254771095384993	0.12254771095384993	11.758115924920316	24.68328185461513	ROS1
gs_ind_0	lung_non-small_cell_carcinoma	2/50	0.0353680927708697	0.03890490204795667	8.762093576526567	29.282436565156534	AURKA;ROS1
gs_ind_0	ovarian_carcinoma	1/5	0.02926020301552109	0.03890490204795667	56.23519458544839	198.596104940594	AURKA
gs_ind_0	ovarian_serous_carcinoma	1/5	0.02926020301552109	0.03890490204795667	56.23519458544839	198.596104940594	AURKA
