Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acute_myeloid_leukemia-predictive	1/9	0.07928323775515093	0.0936983718924511	19.205339700455827	48.68032285694533	FGF2
gs_ind_0	adenosquamous_lung_carcinoma-predictive	1/1	0.009133646742780391	0.03392497361604146	326.66789667896677	1533.9639209274749	FGFR1
gs_ind_0	basal_cell_carcinoma-predictive	1/1	0.009133646742780391	0.03392497361604146	326.66789667896677	1533.9639209274749	SMO
gs_ind_0	bladder_carcinoma-predictive	1/6	0.05357445378174757	0.07781865960048114	29.6870177792687	86.8844882682964	FGFR1
gs_ind_0	breast_cancer-predictive	2/37	0.044794180102251835	0.07781865960048114	7.706948007749097	23.93529160277997	FGFR1;PGR
gs_ind_0	breast_cancer-prognostic	2/14	0.007013116732641304	0.03392497361604146	21.92193308550186	108.73219762337801	FGFR1;PGR
gs_ind_0	cancer-predictive	2/41	0.05387445664648694	0.07781865960048114	6.924615312220602	20.227485590178617	NTRK3;SMO
gs_ind_0	cancer-prognostic	1/3	0.027153238644120354	0.06418038224973902	65.32472324723247	235.57786803906725	FGFR1
gs_ind_0	childhood_low-grade_glioma-diagnostic	1/1	0.009133646742780391	0.03392497361604146	326.66789667896677	1533.9639209274749	FGFR1
gs_ind_0	colorectal_cancer-predictive	1/36	0.28158849373361255	0.28158849373361255	4.5900420976040746	5.816999438422155	FGFR1
gs_ind_0	estrogen-receptor_positive_breast_cancer-predictive	1/9	0.07928323775515093	0.0936983718924511	19.205339700455827	48.68032285694533	FGFR1
gs_ind_0	ewing_sarcoma_of_bone-predictive	2/3	0.00024695619881131013	0.006420861169094063	182.81908302354398	1518.5500706714015	PTPRD;FGFR1
gs_ind_0	gastric_adenocarcinoma-predictive	1/10	0.08769782546197842	0.09913667226136691	17.182559720334044	41.819913444475425	FGFR1
gs_ind_0	gastrointestinal_stromal_tumor-predictive	1/4	0.03604066791424863	0.07781865960048114	46.657353716394304	155.04739337899238	NTRK3
gs_ind_0	head_and_neck_carcinoma-predictive	1/1	0.009133646742780391	0.03392497361604146	326.66789667896677	1533.9639209274749	PTPRD
gs_ind_0	head_and_neck_squamous_cell_carcinoma-predictive	1/20	0.16775633112928348	0.1744665843744548	8.365313653136532	14.934115654353304	FGFR1
gs_ind_0	head_and_neck_squamous_cell_carcinoma-prognostic	1/6	0.05357445378174757	0.07781865960048114	29.6870177792687	86.8844882682964	FGFR1
gs_ind_0	lung_cancer-predictive	1/5	0.04484749776536122	0.07781865960048114	36.28659286592866	112.6512733609223	FGFR1
gs_ind_0	lung_non-small_cell_carcinoma-predictive	2/47	0.06857816115206605	0.08915160949768586	6.009028146574615	16.10288032989474	NTRK3;FGFR1
gs_ind_0	lung_non-small_cell_carcinoma-prognostic	1/14	0.12059960070627011	0.13064956743179262	12.088150881508815	25.569815402478707	FGFR1
gs_ind_0	lung_squamous_cell_carcinoma-predictive	1/3	0.027153238644120354	0.06418038224973902	65.32472324723247	235.57786803906725	FGFR1
gs_ind_0	lung_squamous_cell_carcinoma-prognostic	1/2	0.01818447782901733	0.05253293595049451	108.88191881918819	436.3102004087621	FGFR1
gs_ind_0	medulloblastoma-predictive	1/2	0.01818447782901733	0.05253293595049451	108.88191881918819	436.3102004087621	SMO
gs_ind_0	pilocytic_astrocytoma-predictive	1/1	0.009133646742780391	0.03392497361604146	326.66789667896677	1533.9639209274749	FGFR1
gs_ind_0	prostate_cancer-prognostic	1/6	0.05357445378174757	0.07781865960048114	29.6870177792687	86.8844882682964	FGF13
gs_ind_0	sarcoma-predictive	1/7	0.06222225506404281	0.08514624377184805	25.118081180811807	69.75398008220975	FGFR1
