Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acute_myeloid_leukemia	1/15	0.128639292444906	0.14218027059700136	11.253721847563304	23.07849100843357	FGF2
gs_ind_0	adenosquamous_lung_carcinoma	1/1	0.009133646742780391	0.03196776359973137	326.66789667896677	1533.9639209274749	FGFR1
gs_ind_0	basal_cell_carcinoma	1/1	0.009133646742780391	0.03196776359973137	326.66789667896677	1533.9639209274749	SMO
gs_ind_0	bladder_carcinoma	1/7	0.06222225506404281	0.1040592495536356	25.118081180811807	69.75398008220975	FGFR1
gs_ind_0	breast_cancer	2/46	0.06604355011430828	0.1040592495536356	6.1444801804435905	16.697261778270594	FGFR1;PGR
gs_ind_0	cancer	3/45	0.007993895230700142	0.03196776359973137	9.075787618418154	43.82767837738176	NTRK3;FGFR1;SMO
gs_ind_0	childhood_low-grade_glioma	1/8	0.07079161428673249	0.1040592495536356	21.767527675276753	57.64073386703128	FGFR1
gs_ind_0	colorectal_cancer	1/48	0.3566904665938276	0.3566904665938276	3.4276558555059236	3.533525565946515	FGFR1
gs_ind_0	estrogen-receptor_positive_breast_cancer	1/9	0.07928323775515093	0.1040592495536356	19.205339700455827	48.68032285694533	FGFR1
gs_ind_0	ewing_sarcoma_of_bone	2/4	0.0004909508337355206	0.010309967508445933	109.68401486988847	835.7007793755903	PTPRD;FGFR1
gs_ind_0	gastric_adenocarcinoma	1/12	0.10429866233381184	0.12883952405941462	14.192363227980106	32.081790841490815	FGFR1
gs_ind_0	gastrointestinal_stromal_tumor	1/4	0.03604066791424863	0.08409489179991347	46.657353716394304	155.04739337899238	NTRK3
gs_ind_0	head_and_neck_carcinoma	1/1	0.009133646742780391	0.03196776359973137	326.66789667896677	1533.9639209274749	PTPRD
gs_ind_0	head_and_neck_squamous_cell_carcinoma	1/22	0.18291050980789114	0.19205603529828572	7.586115163477216	12.88697581948274	FGFR1
gs_ind_0	lung_cancer	1/8	0.07079161428673249	0.1040592495536356	21.767527675276753	57.64073386703128	FGFR1
gs_ind_0	lung_non-small_cell_carcinoma	2/51	0.07902606103641166	0.1040592495536356	5.521948105591228	14.014580569313324	NTRK3;FGFR1
gs_ind_0	lung_squamous_cell_carcinoma	1/4	0.03604066791424863	0.08409489179991347	46.657353716394304	155.04739337899238	FGFR1
gs_ind_0	medulloblastoma	1/2	0.01818447782901733	0.054553433487051994	108.88191881918819	436.3102004087621	SMO
gs_ind_0	pilocytic_astrocytoma	1/1	0.009133646742780391	0.03196776359973137	326.66789667896677	1533.9639209274749	FGFR1
gs_ind_0	prostate_cancer	1/14	0.12059960070627011	0.14069953415731515	12.088150881508815	25.569815402478707	FGF13
gs_ind_0	sarcoma	1/9	0.07928323775515093	0.1040592495536356	19.205339700455827	48.68032285694533	FGFR1
