Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acral_lentiginous_melanoma	1/2	0.11074735171185045	0.2617664676825556	16.552367288378765	36.423546829908524	KIT
gs_ind_0	acute_myeloid_leukemia	1/17	0.6314202806248554	0.7068181438614699	1.5034563714621103	0.6912645577820671	KIT
gs_ind_0	acute_promyelocytic_leukemia	1/3	0.1614371756960142	0.3228743513920284	9.930846484935438	18.11028110773357	CDKN2B
gs_ind_0	adult_t-cell_leukemia/lymphoma	1/1	0.056996512641673935	0.16465659207594693	49.659971305595406	142.26415736826957	PRKCB
gs_ind_0	breast_cancer	2/51	0.7957189937606577	0.7957189937606577	0.8344575481961791	0.1906812087302622	SGK1;PGR
gs_ind_0	cancer	5/49	0.14533310290194792	0.31488838962088717	2.0485524874991237	3.9510983088582567	ALK;KIT;PRKAA2;UGT1A1;NTRK3
gs_ind_0	chronic_leukemia	1/1	0.056996512641673935	0.16465659207594693	49.659971305595406	142.26415736826957	KIT
gs_ind_0	chronic_myeloid_leukemia	1/7	0.3369243990915474	0.5493027991684359	3.8186734356031344	4.154322262714261	KIT
gs_ind_0	colon_signet_ring_adenocarcinoma	1/1	0.056996512641673935	0.16465659207594693	49.659971305595406	142.26415736826957	KIT
gs_ind_0	endometrial_cancer	1/14	0.5604017470502756	0.6938307344431983	1.8378766140602583	1.064316822855727	KIT
gs_ind_0	ewing_sarcoma	1/2	0.11074735171185045	0.2617664676825556	16.552367288378765	36.423546829908524	CDKN2B
gs_ind_0	gastrointestinal_stromal_tumor	2/4	0.018028262803436508	0.16465659207594693	16.56725706079464	66.53103273276915	NTRK3;KIT
gs_ind_0	glioblastoma	1/17	0.6314202806248554	0.7068181438614699	1.5034563714621103	0.6912645577820671	KIT
gs_ind_0	inflammatory_myofibroblastic_tumor	1/1	0.056996512641673935	0.16465659207594693	49.659971305595406	142.26415736826957	ALK
gs_ind_0	lung_adenocarcinoma	2/23	0.38028655327045563	0.5493027991684359	1.9243100626760328	1.8604811268046884	ALK;ROS1
gs_ind_0	lung_cancer	1/8	0.3747318168375402	0.5493027991684359	3.309325681492109	3.248250963964489	KIT
gs_ind_0	lung_non-small_cell_carcinoma	4/53	0.35749425587621936	0.5493027991684359	1.5049051667756703	1.5479996077396108	ALK;NTRK3;KIT;ROS1
gs_ind_0	malignant_anus_melanoma	1/1	0.056996512641673935	0.16465659207594693	49.659971305595406	142.26415736826957	KIT
gs_ind_0	melanoma	2/27	0.4604469888374211	0.6300853531459447	1.6220820544589305	1.2580179782875105	SOX10;KIT
gs_ind_0	mucosal_melanoma	2/2	0.003245673571497426	0.08438751285893308	82.84585926280516	474.7425943240223	ALK;KIT
gs_ind_0	neuroblastoma	1/5	0.2543205263524579	0.47230954894027893	5.516499282639885	7.552969566094074	ALK
gs_ind_0	ovarian_cancer	1/21	0.70860729464652	0.7369515864323807	1.2098190852783708	0.4167267717454	ABCG2
gs_ind_0	renal_cell_carcinoma	1/14	0.5604017470502756	0.6938307344431983	1.8378766140602583	1.064316822855727	CDKN2B
gs_ind_0	skin_melanoma	1/18	0.6524475174105876	0.7068181438614699	1.4174625947940152	0.6052913636900449	ALK
gs_ind_0	systemic_mastocytosis	1/1	0.056996512641673935	0.16465659207594693	49.659971305595406	142.26415736826957	KIT
gs_ind_0	thymic_carcinoma	1/1	0.056996512641673935	0.16465659207594693	49.659971305595406	142.26415736826957	KIT
