Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acute_promyelocytic_leukemia	1/3	0.1437237009701636	0.45184330983342297	11.309140075716604	21.93817748443863	CDKN2B
gs_ind_0	adult_t-cell_leukemia/lymphoma	1/1	0.05040322580645161	0.4032258064516129	56.55219037317469	168.96098493815504	PRKCB
gs_ind_0	b-lymphoblastic_leukemia_with_pax5_p.p80r	1/1	0.05040322580645161	0.4032258064516129	56.55219037317469	168.96098493815504	PAX5
gs_ind_0	breast_cancer	5/51	0.11294588010259891	0.45178352041039566	2.2334343770624896	4.870777571314695	FGFR2;ERBB4;ABCB1;SGK1;PGR
gs_ind_0	cancer	3/49	0.45167769032642424	0.5162030746587706	1.4181950636710667	1.1271621888730143	UGT1A1;ALK;NTRK3
gs_ind_0	cholangiocarcinoma	1/6	0.26680999042099884	0.45184330983342297	5.139633216972319	6.7905785937391965	FGFR2
gs_ind_0	chronic_myeloid_leukemia	1/7	0.30377721809245745	0.45184330983342297	4.348670799184591	5.181270273811615	ABCB1
gs_ind_0	diffuse_large_b-cell_lymphoma	1/6	0.26680999042099884	0.45184330983342297	5.139633216972319	6.7905785937391965	MS4A1
gs_ind_0	endometrial_cancer	1/14	0.5153425785565318	0.5621919038798529	2.092963163271438	1.3874742528924655	FGFR2
gs_ind_0	ewing_sarcoma	1/2	0.09826857462281213	0.45178352041039566	18.849648458626284	43.732145594283516	CDKN2B
gs_ind_0	gastrointestinal_stromal_tumor	1/4	0.1868898449890528	0.45184330983342297	8.07749362589817	13.547862290761367	NTRK3
gs_ind_0	head_and_neck_squamous_cell_carcinoma	1/22	0.6796883866444687	0.6796883866444687	1.3135824518595847	0.507201560742554	FGFR2
gs_ind_0	inflammatory_myofibroblastic_tumor	1/1	0.05040322580645161	0.4032258064516129	56.55219037317469	168.96098493815504	ALK
gs_ind_0	lung_adenocarcinoma	2/23	0.3240778393566862	0.45184330983342297	2.191674745973987	2.4695167442960773	ALK;ROS1
gs_ind_0	lung_cancer	1/8	0.33888248237506724	0.45184330983342297	3.7686316928069226	4.078043482635429	PDCD4
gs_ind_0	lung_non-small_cell_carcinoma	4/53	0.27753637177658846	0.45184330983342297	1.7144477876979234	2.1975848060938525	ALK;NTRK3;ABCB1;ROS1
gs_ind_0	melanoma	2/27	0.39790689038065125	0.4774882684567815	1.8474579869847234	1.702501343272505	SOX10;ERBB4
gs_ind_0	mucosal_melanoma	1/2	0.09826857462281213	0.45178352041039566	18.849648458626284	43.732145594283516	ALK
gs_ind_0	neuroblastoma	1/5	0.22788215441706275	0.45184330983342297	6.28213448711015	9.290816113385956	ALK
gs_ind_0	ovarian_cancer	2/21	0.2862251593042092	0.45184330983342297	2.416739549928505	3.0232844019545255	ABCG2;ABCB1
gs_ind_0	renal_cell_carcinoma	2/14	0.15492489119619468	0.45184330983342297	3.771629669734705	7.033391026002281	HMOX1;CDKN2B
gs_ind_0	skin_melanoma	1/18	0.6059840120142082	0.6323311429713476	1.6142007262612996	0.8085558493068863	ALK
gs_ind_0	stomach_carcinoma	1/9	0.37221947015325413	0.47017196229884733	3.325072376165177	3.28607468091651	FGFR2
gs_ind_0	transitional_cell_carcinoma	1/6	0.26680999042099884	0.45184330983342297	5.139633216972319	6.7905785937391965	FGFR2
