Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_h3_k27m-mutant-diagnostic	1/3	0.1437237009701636	0.2999451150681675	11.309140075716604	21.93817748443863	H3C2
gs_ind_0	acral_lentiginous_melanoma-prognostic	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	TERT
gs_ind_0	acute_lymphoblastic_leukemia-prognostic	1/4	0.1868898449890528	0.34502740613363597	8.07749362589817	13.547862290761367	CDKN2A
gs_ind_0	acute_myeloid_leukemia-predictive	1/10	0.4038771591958449	0.5101606221421199	2.974893968290114	2.6971712801765015	WT1
gs_ind_0	acute_myeloid_leukemia-prognostic	1/16	0.5630045928833348	0.6141868286000016	1.8226940456044243	1.0470784788866565	WT1
gs_ind_0	biliary_tract_cancer-predictive	1/3	0.1437237009701636	0.2999451150681675	11.309140075716604	21.93817748443863	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma-predictive	1/2	0.09826857462281213	0.2948057238684364	18.849648458626284	43.732145594283516	CDKN2A
gs_ind_0	brain_glioblastoma_multiforme-diagnostic	1/2	0.09826857462281213	0.2948057238684364	18.849648458626284	43.732145594283516	H3C2
gs_ind_0	brain_glioma-diagnostic	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	TERT
gs_ind_0	brain_glioma-predisposing	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	TERT
gs_ind_0	breast_cancer-predictive	2/40	0.6056866428246721	0.6320208446866143	1.2227269211568075	0.6130661294570358	FGF3;TIMP1
gs_ind_0	cervical_cancer-prognostic	1/2	0.09826857462281213	0.2948057238684364	18.849648458626284	43.732145594283516	SPHK1
gs_ind_0	childhood_low-grade_glioma-prognostic	2/6	0.0332429743973819	0.26881720430107525	10.481561691632075	35.67831184453273	TERT;CDKN2A
gs_ind_0	cholangiocarcinoma-predictive	1/6	0.26680999042099884	0.40021498563149827	5.139633216972319	6.7905785937391965	CDKN2A
gs_ind_0	colon_cancer-predictive	1/3	0.1437237009701636	0.2999451150681675	11.309140075716604	21.93817748443863	BIRC7
gs_ind_0	colorectal_cancer-predictive	3/38	0.2997166721440986	0.4166087562410845	1.8588114050154585	2.239714719673048	PTP4A3;EREG;DKK1
gs_ind_0	colorectal_cancer-prognostic	1/14	0.5153425785565318	0.5752661342026401	2.092963163271438	1.3874742528924655	THBS2
gs_ind_0	dermatofibrosarcoma_protuberans-predictive	1/2	0.09826857462281213	0.2948057238684364	18.849648458626284	43.732145594283516	CDKN2A
gs_ind_0	diffuse_midline_glioma-diagnostic	1/3	0.1437237009701636	0.2999451150681675	11.309140075716604	21.93817748443863	H3C2
gs_ind_0	esophagus_squamous_cell_carcinoma-prognostic	1/5	0.22788215441706275	0.40021498563149827	6.28213448711015	9.290816113385956	CDKN2A
gs_ind_0	estrogen-receptor_positive_breast_cancer-predictive	1/9	0.37221947015325413	0.48287931263124856	3.325072376165177	3.28607468091651	MMP1
gs_ind_0	ewing_sarcoma-predictive	1/2	0.09826857462281213	0.2948057238684364	18.849648458626284	43.732145594283516	CDKN2A
gs_ind_0	glioblastoma-prognostic	1/7	0.30377721809245745	0.4166087562410845	4.348670799184591	5.181270273811615	TERT
gs_ind_0	head_and_neck_squamous_cell_carcinoma-predictive	1/20	0.6447404327857506	0.6584583143343836	1.4484752672962515	0.6357466192321605	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-prognostic	1/6	0.26680999042099884	0.40021498563149827	5.139633216972319	6.7905785937391965	CDKN2A
gs_ind_0	hepatocellular_carcinoma-predictive	1/4	0.1868898449890528	0.34502740613363597	8.07749362589817	13.547862290761367	FGF19
gs_ind_0	her2-receptor_negative_breast_cancer-predictive	1/4	0.1868898449890528	0.34502740613363597	8.07749362589817	13.547862290761367	CDKN2A
gs_ind_0	lung_adenocarcinoma-prognostic	1/8	0.33888248237506724	0.45184330983342297	3.7686316928069226	4.078043482635429	EREG
gs_ind_0	lung_non-small_cell_carcinoma-predictive	1/49	0.92094261136448	0.92094261136448	0.5814065000306657	0.047883218321269766	CDKN2A
gs_ind_0	lung_non-small_cell_carcinoma-prognostic	1/14	0.5153425785565318	0.5752661342026401	2.092963163271438	1.3874742528924655	CDKN2A
gs_ind_0	lung_small_cell_carcinoma-predictive	1/6	0.26680999042099884	0.40021498563149827	5.139633216972319	6.7905785937391965	MYC
gs_ind_0	melanoma-predisposing	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	CDKN2A
gs_ind_0	multiple_myeloma-predictive	1/6	0.26680999042099884	0.40021498563149827	5.139633216972319	6.7905785937391965	MYC
gs_ind_0	neuroblastoma-predictive	1/3	0.1437237009701636	0.2999451150681675	11.309140075716604	21.93817748443863	MYCN
gs_ind_0	neuroblastoma-prognostic	1/3	0.1437237009701636	0.2999451150681675	11.309140075716604	21.93817748443863	MYCN
gs_ind_0	neuroendocrine_tumor-predictive	1/2	0.09826857462281213	0.2948057238684364	18.849648458626284	43.732145594283516	SSTR5
gs_ind_0	oropharynx_cancer-predictive	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	CDKN2A
gs_ind_0	oropharynx_cancer-prognostic	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	CDKN2A
gs_ind_0	ovarian_cancer-predictive	2/19	0.24815886747600308	0.40021498563149827	2.693247737644056	3.7535420522913174	ASNS;CDKN2A
gs_ind_0	pancreatic_cancer-predictive	1/12	0.4624884134530435	0.541449849896246	2.457238930561761	1.894859930971617	CDKN2A
gs_ind_0	papillary_thyroid_carcinoma-prognostic	1/3	0.1437237009701636	0.2999451150681675	11.309140075716604	21.93817748443863	TERT
gs_ind_0	prostate_cancer-predictive	1/12	0.4624884134530435	0.541449849896246	2.457238930561761	1.894859930971617	IGF2
gs_ind_0	prostate_cancer-prognostic	1/7	0.30377721809245745	0.4166087562410845	4.348670799184591	5.181270273811615	ETV4
gs_ind_0	renal_cell_carcinoma-predictive	1/11	0.4339400546131299	0.5340800672161599	2.691416209534111	2.246925801234035	CDKN2A
gs_ind_0	skin_melanoma-predictive	1/17	0.5850497909408674	0.6240531103369252	1.712129406558828	0.9178012178443412	CDKN2A
gs_ind_0	skin_melanoma-prognostic	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	TERT
gs_ind_0	thyroid_cancer-diagnostic	1/2	0.09826857462281213	0.2948057238684364	18.849648458626284	43.732145594283516	TERT
gs_ind_0	thyroid_cancer-prognostic	1/1	0.05040322580645161	0.26881720430107525	56.55219037317469	168.96098493815504	TERT
