Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acral_lentiginous_melanoma-diagnostic	1/1	0.05808631211857018	0.15717472690907228	48.6715157203191	138.51062764522518	KIT
gs_ind_0	acute_myeloid_leukemia-predictive	1/10	0.45040169289708476	0.5179619468316475	2.560325026550421	2.0421547815848977	KIT
gs_ind_0	acute_myeloid_leukemia-prognostic	1/16	0.6162905418825849	0.6592875564325327	1.5686865170070086	0.7593019512963138	KIT
gs_ind_0	acute_promyelocytic_leukemia-prognostic	1/2	0.11280158601544796	0.21620303986294193	16.222900046926327	35.40039381160334	CDKN2B
gs_ind_0	adult_t-cell_leukemia/lymphoma-diagnostic	1/1	0.05808631211857018	0.15717472690907228	48.6715157203191	138.51062764522518	PRKCB
gs_ind_0	breast_cancer-predictive	3/40	0.412775541235265	0.49967565517953133	1.5138254192132894	1.3395104165858551	RET;FGFR2;SGK1
gs_ind_0	breast_cancer-prognostic	1/15	0.5926072414163027	0.6490460263130935	1.6769688829916343	0.8774294012023074	ABCB1
gs_ind_0	cancer-oncogenic	1/4	0.21288955581669725	0.3376868816402784	6.951866997385533	10.754411477951255	RET
gs_ind_0	cancer-predictive	4/45	0.2642688923577877	0.3798865327643199	1.7599943302622254	2.342179620831058	UGT1A1;ALK;NTRK3;KIT
gs_ind_0	cholangiocarcinoma-predictive	1/6	0.30169563996680443	0.3854999844020279	4.423403438419863	5.300726168143971	FGFR2
gs_ind_0	chronic_leukemia-predictive	1/1	0.05808631211857018	0.15717472690907228	48.6715157203191	138.51062764522518	KIT
gs_ind_0	chronic_myeloid_leukemia-diagnostic	1/2	0.11280158601544796	0.21620303986294193	16.222900046926327	35.40039381160334	KIT
gs_ind_0	chronic_myeloid_leukemia-predictive	1/4	0.21288955581669725	0.3376868816402784	6.951866997385533	10.754411477951255	ABCB1
gs_ind_0	colon_signet_ring_adenocarcinoma-predictive	1/1	0.05808631211857018	0.15717472690907228	48.6715157203191	138.51062764522518	KIT
gs_ind_0	diffuse_large_b-cell_lymphoma-predictive	1/2	0.11280158601544796	0.21620303986294193	16.222900046926327	35.40039381160334	MS4A1
