Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_h3_k27m-mutant-diagnostic	1/3	0.1098230227697447	0.24252584194985288	15.18494623655914	33.54180137606572	H3C2
gs_ind_0	acute_lymphoblastic_leukemia-prognostic	1/4	0.14368555097873253	0.2820494148841787	10.845775729646697	21.042193617934654	CDKN2A
gs_ind_0	acute_myeloid_leukemia-predictive	1/10	0.32149180427166335	0.41558696649751603	3.9944538766270514	4.5328392633609935	WT1
gs_ind_0	acute_myeloid_leukemia-prognostic	1/16	0.4624198741218674	0.5001684352746729	2.4473812001387443	1.8876210231936619	WT1
gs_ind_0	biliary_tract_cancer-predictive	1/3	0.1098230227697447	0.24252584194985288	15.18494623655914	33.54180137606572	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma-predictive	1/2	0.07462341195472554	0.2326494608000267	25.309677419354838	65.68623080822381	CDKN2A
gs_ind_0	brain_glioblastoma_multiforme-diagnostic	1/2	0.07462341195472554	0.2326494608000267	25.309677419354838	65.68623080822381	H3C2
gs_ind_0	breast_cancer-predictive	1/40	0.7883306425456731	0.7883306425456731	0.9590581189601198	0.22810015799033465	BRCA2
gs_ind_0	breast_cancer-predisposing	1/5	0.17626171652357916	0.291933467992178	8.435125448028673	14.641567285814478	BRCA2
gs_ind_0	cancer-predictive	3/45	0.2441829948967086	0.340571019198041	2.0854653867298176	2.9401670062265466	BRCA2;SLCO1B1;MET
gs_ind_0	castration-resistant_prostate_carcinoma-predictive	1/13	0.3960466875493219	0.4664549875580902	3.035268817204301	2.811336326389554	BRCA2
gs_ind_0	cervical_cancer-prognostic	1/2	0.07462341195472554	0.2326494608000267	25.309677419354838	65.68623080822381	SPHK1
gs_ind_0	childhood_low-grade_glioma-prognostic	1/6	0.20760031803153914	0.30563380154643266	6.901075268817205	10.849460584418322	CDKN2A
gs_ind_0	cholangiocarcinoma-predictive	1/6	0.20760031803153914	0.30563380154643266	6.901075268817205	10.849460584418322	CDKN2A
gs_ind_0	colorectal_cancer-predictive	2/38	0.42678049340943097	0.4712367948062467	1.7325866121212716	1.4752723168809228	EREG;MET
gs_ind_0	colorectal_cancer-prognostic	1/14	0.41903373221318435	0.4712367948062467	2.8102747909199524	2.444387849070227	THBS2
gs_ind_0	dermatofibrosarcoma_protuberans-predictive	1/2	0.07462341195472554	0.2326494608000267	25.309677419354838	65.68623080822381	CDKN2A
gs_ind_0	diffuse_midline_glioma-diagnostic	1/3	0.1098230227697447	0.24252584194985288	15.18494623655914	33.54180137606572	H3C2
gs_ind_0	epithelial_ovarian_cancer-prognostic	1/2	0.07462341195472554	0.2326494608000267	25.309677419354838	65.68623080822381	BRCA2
gs_ind_0	esophagus_squamous_cell_carcinoma-prognostic	1/5	0.17626171652357916	0.291933467992178	8.435125448028673	14.641567285814478	CDKN2A
gs_ind_0	estrogen-receptor_positive_breast_cancer-predictive	1/9	0.2946514120575305	0.3904131209762279	4.464642631246047	5.455624868472563	MMP1
