Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	breast_cancer-Olaparib	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	BRCA2
gs_ind_0	breast_cancer-Quarfloxin	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	BRCA2
gs_ind_0	breast_cancer-Quarfloxin-Pidnarulex	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	BRCA2
gs_ind_0	breast_cancer-Talazoparib	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	BRCA2
gs_ind_0	cancer-Olaparib	1/3	0.014621326470247735	0.015016497455930106	123.1069306930693	520.1605256570705	BRCA2
gs_ind_0	castration-resistant_prostate_carcinoma-Olaparib	1/6	0.029033001408006093	0.029033001408006093	55.94149414941494	197.99496746844815	BRCA2
gs_ind_0	cervical_adenocarcinoma-Paclitaxel	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	AURKA
gs_ind_0	endometrial_carcinoma-Paclitaxel	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	STMN1
gs_ind_0	esophagus_adenocarcinoma-Cisplatin	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	AURKA
gs_ind_0	esophagus_adenocarcinoma-Cisplatin-Alisertib	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	AURKA
gs_ind_0	esophagus_squamous_cell_carcinoma-Radiation Therapy	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	AURKA
gs_ind_0	esophagus_squamous_cell_carcinoma-Radiation Therapy-Cisplatin	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	AURKA
gs_ind_0	esophagus_squamous_cell_carcinoma-Radiation Therapy-Cisplatin-Fluorouracil	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	AURKA
gs_ind_0	glioblastoma-Temozolomide	1/2	0.009770992298834033	0.01060850592444838	205.1980198019802	949.7256391242706	BRCA2
gs_ind_0	glioblastoma-Temozolomide-Olaparib	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	BRCA2
gs_ind_0	her2-receptor_negative_breast_cancer-Olaparib	1/1	0.004897253696946418	0.005815488765123872	615.6534653465346	3274.7104660276123	BRCA2
gs_ind_0	inflammatory_breast_carcinoma-Bevacizumab	1/2	0.009770992298834033	0.01060850592444838	205.1980198019802	949.7256391242706	MMP9
gs_ind_0	lung_non-small_cell_carcinoma-Cisplatin	1/3	0.014621326470247735	0.015016497455930106	123.1069306930693	520.1605256570705	AURKA
