Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acral_lentiginous_melanoma	1/2	0.06273214950879442	0.2604352326974557	30.404255319148938	84.18577130037389	TERT
gs_ind_0	acute_lymphoblastic_leukemia	1/4	0.12153644192547933	0.2604352326974557	13.028658271819365	27.458433145690474	CDKN2A
gs_ind_0	acute_myeloid_leukemia	1/15	0.3849818999662363	0.4619782799594835	3.142542710407714	2.999742297864535	WT1
gs_ind_0	biliary_tract_cancer	1/3	0.09260956566306014	0.2604352326974557	18.241337386018238	43.40276036044879	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma	1/4	0.12153644192547933	0.2604352326974557	13.028658271819365	27.458433145690474	CDKN2A
gs_ind_0	brain_glioma	1/5	0.1495429600080101	0.26498751776043805	10.132725430597771	19.253916784950498	TERT
gs_ind_0	cancer	1/48	0.7892785854191893	0.7892785854191893	0.9571908494640857	0.22650575043067375	NRG1
gs_ind_0	childhood_low-grade_glioma	2/7	0.019143037298754436	0.2604352326974557	13.844485463774804	54.766240113646894	TERT;CDKN2A
gs_ind_0	cholangiocarcinoma	1/6	0.17665834517362536	0.26498751776043805	8.28985907709312	14.370782947718297	CDKN2A
gs_ind_0	colorectal_cancer	4/48	0.06606097864488268	0.2604352326974557	3.084527368312545	8.381206958755548	NRG1;CDX2;THBS2;DKK1
gs_ind_0	dermatofibrosarcoma_protuberans	1/2	0.06273214950879442	0.2604352326974557	30.404255319148938	84.18577130037389	CDKN2A
gs_ind_0	esophagus_squamous_cell_carcinoma	1/6	0.17665834517362536	0.26498751776043805	8.28985907709312	14.370782947718297	CDKN2A
gs_ind_0	estrogen-receptor_positive_breast_cancer	1/8	0.22832801610499515	0.31135638559772066	6.078419452887538	8.977655438230396	MMP1
gs_ind_0	ewing_sarcoma	1/1	0.03187302406606878	0.2604352326974557	91.21884498480243	314.3397081252779	CDKN2A
gs_ind_0	glioblastoma	1/17	0.42360007809634903	0.4706667534403878	2.7612600165791656	2.3718270380073183	TERT
gs_ind_0	head_and_neck_squamous_cell_carcinoma	2/22	0.15440159493307806	0.26498751776043805	3.7106598984771573	6.932248557135757	NRG1;CDKN2A
gs_ind_0	hepatocellular_carcinoma	1/6	0.17665834517362536	0.26498751776043805	8.28985907709312	14.370782947718297	FGF19
gs_ind_0	her2-receptor_negative_breast_cancer	1/4	0.12153644192547933	0.2604352326974557	13.028658271819365	27.458433145690474	CDKN2A
gs_ind_0	inflammatory_breast_carcinoma	1/2	0.06273214950879442	0.2604352326974557	30.404255319148938	84.18577130037389	MMP9
gs_ind_0	lung_adenocarcinoma	1/21	0.4937269026138859	0.5289931099434492	2.221884498480243	1.5681455179596342	ROS1
gs_ind_0	lung_non-small_cell_carcinoma	3/50	0.21307715663657237	0.30439593805224624	2.2425335974728275	3.467183305578637	NRG1;CDKN2A;ROS1
gs_ind_0	melanoma	1/27	0.5832760094175753	0.6033889752595606	1.7181281183689854	0.9262338916189405	CDKN2A
gs_ind_0	oropharynx_cancer	1/1	0.03187302406606878	0.2604352326974557	91.21884498480243	314.3397081252779	CDKN2A
gs_ind_0	ovarian_cancer	2/21	0.14323793949853428	0.26498751776043805	3.9012104646622414	7.581019896942282	NRG1;CDKN2A
gs_ind_0	pancreatic_cancer	1/14	0.36471514381810194	0.4558939297726274	3.3755488010807158	3.404709012693854	CDKN2A
gs_ind_0	papillary_thyroid_carcinoma	1/3	0.09260956566306014	0.2604352326974557	18.241337386018238	43.40276036044879	TERT
gs_ind_0	prostate_cancer	1/17	0.42360007809634903	0.4706667534403878	2.7612600165791656	2.3718270380073183	HOXB13
gs_ind_0	renal_cell_carcinoma	1/11	0.29982794236575055	0.391079924824892	4.340859748154581	5.228767391896542	CDKN2A
gs_ind_0	skin_melanoma	2/17	0.10065614960566524	0.2604352326974557	4.909284427705911	11.271938110349671	TERT;CDKN2A
gs_ind_0	thyroid_cancer	1/4	0.12153644192547933	0.2604352326974557	13.028658271819365	27.458433145690474	TERT
