Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	biliary_tract_cancer-Palbociclib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma-Immune Checkpoint Inhibitor	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	brain_glioma-Bevacizumab	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	MMP2
gs_ind_0	cholangiocarcinoma-Palbociclib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	colorectal_cancer-Cetuximab	1/16	0.2671253004089003	0.2671253004089003	4.940037950664137	6.521035053567926	NT5E
gs_ind_0	dermatofibrosarcoma_protuberans-Palbociclib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	dermatofibrosarcoma_protuberans-Sunitinib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	PDGFRB
gs_ind_0	estrogen-receptor_positive_breast_cancer-Sacituzumab Govitecan	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	MMP1
gs_ind_0	ewing_sarcoma-Palbociclib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	ewing_sarcoma-Palbociclib-Linsitinib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Afatinib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Cetuximab	1/5	0.09252031954661165	0.09654294213559476	17.028011204481793	40.532234618821555	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Panitumumab	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	her2-receptor_negative_breast_cancer-Letrozole	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	her2-receptor_negative_breast_cancer-Letrozole-Palbociclib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	inflammatory_breast_carcinoma-Bevacizumab	2/2	0.00036846257137416755	0.008843101712980021	256.3490725126476	2026.7397110820873	MMP2;MMP9
gs_ind_0	lung_non-small_cell_carcinoma-Palbociclib	1/4	0.07472542945151987	0.08151865031074895	21.894597839135653	56.79315978662261	CDKN2A
gs_ind_0	oropharynx_cancer-Cetuximab	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	ovarian_cancer-Palbociclib	1/2	0.038085631241129875	0.04352643570414843	51.09411764705882	166.9713970106308	CDKN2A
gs_ind_0	pancreatic_cancer-Palbociclib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	renal_cell_carcinoma-Palbociclib	1/2	0.038085631241129875	0.04352643570414843	51.09411764705882	166.9713970106308	CDKN2A
gs_ind_0	skin_melanoma-Alvocidib	1/1	0.019227046906252016	0.025636062541669353	153.29243697478992	605.7254529928771	CDKN2A
gs_ind_0	skin_melanoma-Palbociclib	1/2	0.038085631241129875	0.04352643570414843	51.09411764705882	166.9713970106308	CDKN2A
