Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	biliary_tract_cancer-Palbociclib	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma-Immune Checkpoint Inhibitor	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	CDKN2A
gs_ind_0	breast_cancer-Doxorubicin	1/2	0.06958109349651229	0.07441311387821453	27.279146141215108	72.7060823426739	TOP2A
gs_ind_0	breast_cancer-Fulvestrant	1/2	0.06958109349651229	0.07441311387821453	27.279146141215108	72.7060823426739	TIMP1
gs_ind_0	breast_cancer-Monomethyl Auristatin E	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	ABCC3
gs_ind_0	breast_cancer-Monomethyl Auristatin E-Paclitaxel	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	ABCC3
gs_ind_0	breast_cancer-Paclitaxel	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	TIMP1
gs_ind_0	cancer-ALK Inhibitor TAE684	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	ALK
gs_ind_0	cancer-Alectinib	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	ALK
gs_ind_0	cancer-Brigatinib	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	ALK
gs_ind_0	cancer-Capmatinib	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	MET
gs_ind_0	cancer-Ceritinib	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	ALK
gs_ind_0	cancer-Crizotinib	1/2	0.06958109349651229	0.07441311387821453	27.279146141215108	72.7060823426739	MET
gs_ind_0	cholangiocarcinoma-Palbociclib	1/1	0.03541569902461682	0.042609512888992104	81.84729064039409	273.4190658146982	CDKN2A
