Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	angiosarcoma	1/2	0.084752228527624	0.397272954380597	22.116778523489934	54.5847233402781	PTPRB
gs_ind_0	breast_cancer	1/30	0.7356867097886866	0.8063654249110782	1.120759868046866	0.3440182691472064	ERBB4
gs_ind_0	cancer	1/33	0.768677787373855	0.8063654249110782	1.0169334021683014	0.26753829640282395	PDGFRA
gs_ind_0	chronic_lymphocytic_leukemia	1/7	0.26659240466804424	0.45701555085950435	5.100774393391843	6.74339901710223	PLCG2
gs_ind_0	gastrointestinal_stromal_tumor	1/3	0.12440233523600919	0.397272954380597	13.268456375838927	27.654572242962704	PDGFRA
gs_ind_0	glioblastoma	1/10	0.35790098651141006	0.5368514797671151	3.4887318968562346	3.584668203249748	HGF
gs_ind_0	head_and_neck_squamous_cell_carcinoma	1/14	0.4622520487922118	0.6163360650562825	2.4538404175988067	1.8934936313922492	EGF
gs_ind_0	lung_non-small_cell_carcinoma	1/37	0.8063654249110782	0.8063654249110782	0.9050473476142319	0.19478271395796062	PDGFRA
gs_ind_0	melanoma	2/18	0.18195779148987962	0.397272954380597	3.3539296056119743	5.715030759337868	PDGFRA;ERBB4
gs_ind_0	neuroblastoma	1/5	0.1986364771902985	0.397272954380597	7.369574944071588	11.911288282024179	MYCN
gs_ind_0	rhabdomyosarcoma	1/2	0.084752228527624	0.397272954380597	22.116778523489934	54.5847233402781	PDGFRA
gs_ind_0	uveal_melanoma	1/4	0.1623391372986144	0.397272954380597	9.476318312559924	17.228588161536017	DDX43
