Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_bcr-abl1_negative	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	CSF3R
gs_ind_0	_myb-_or_mybl1-altered	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	MYBL1
gs_ind_0	acral_lentiginous_melanoma	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	TERT
gs_ind_0	acute_lymphoblastic_leukemia	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	CDKN2A
gs_ind_0	atypical_chronic_myeloid_leukemia	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	CSF3R
gs_ind_0	biliary_tract_cancer	1/3	0.06807249238455089	0.09209807793203945	25.294736842105262	67.97156348885063	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	CDKN2A
gs_ind_0	brain_glioma	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	TERT
gs_ind_0	breast_cancer	4/30	0.004819419253720688	0.03167046938159309	7.247443468241395	38.66584901864842	ABCC3;MKI67;BRCA2;TOP2A
gs_ind_0	cancer	3/33	0.04040227493210275	0.07282295843956384	4.870512554471882	15.62883765314783	NRG1;MET;BRCA2
gs_ind_0	castration-resistant_prostate_carcinoma	1/10	0.20950626109396722	0.224122976984244	6.650969529085873	10.395476375838454	BRCA2
gs_ind_0	cervical_cancer	1/3	0.06807249238455089	0.09209807793203945	25.294736842105262	67.97156348885063	SPHK1
gs_ind_0	childhood_low-grade_glioma	2/4	0.0031222653466522286	0.028500254120880225	42.37027707808564	244.44245286618423	TERT;CDKN2A
gs_ind_0	cholangiocarcinoma	1/4	0.08972256806385041	0.10861152976150314	18.065520945220193	43.55656619727383	CDKN2A
gs_ind_0	chronic_neutrophilic_leukemia	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	CSF3R
gs_ind_0	colorectal_cancer	3/33	0.04040227493210275	0.07282295843956384	4.870512554471882	15.62883765314783	NRG1;MET;THBS2
gs_ind_0	dermatofibrosarcoma_protuberans	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	CDKN2A
gs_ind_0	diffuse_astrocytoma	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	MYBL1
gs_ind_0	epithelial_ovarian_cancer	1/4	0.08972256806385041	0.10861152976150314	18.065520945220193	43.55656619727383	BRCA2
gs_ind_0	esophagus_squamous_cell_carcinoma	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	CDKN2A
gs_ind_0	ewing_sarcoma	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	CDKN2A
gs_ind_0	gastric_adenocarcinoma	1/9	0.19069170108192315	0.20885281547067774	7.434321096859796	12.319393309206744	MET
gs_ind_0	glioblastoma	3/10	0.0013125428264707786	0.028500254120880225	19.8610970464135	131.79404800441995	TERT;MET;BRCA2
gs_ind_0	head_and_neck_cancer	1/3	0.06807249238455089	0.09209807793203945	25.294736842105262	67.97156348885063	MET
gs_ind_0	head_and_neck_squamous_cell_carcinoma	2/14	0.04065273668377106	0.07282295843956384	8.463979848866499	27.1074961921497	NRG1;CDKN2A
gs_ind_0	her2-receptor_negative_breast_cancer	2/4	0.0031222653466522286	0.028500254120880225	42.37027707808564	244.44245286618423	BRCA2;CDKN2A
gs_ind_0	her2-receptor_positive_breast_cancer	1/6	0.13153271207322637	0.15126261888421033	11.493506493506494	23.314574442845014	BIRC5
gs_ind_0	histiocytic_and_dendritic_cell_cancer	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	MET
gs_ind_0	lung_adenocarcinoma	1/17	0.3295662687085036	0.33688996356869255	3.8261562998405103	4.246948652656088	MET
gs_ind_0	lung_non-small_cell_carcinoma	4/37	0.01024012040322337	0.05888069231853438	5.728267061638373	26.24372273809896	NRG1;BIRC5;MET;CDKN2A
gs_ind_0	lung_squamous_cell_carcinoma	1/3	0.06807249238455089	0.09209807793203945	25.294736842105262	67.97156348885063	MET
gs_ind_0	melanoma	1/18	0.3451668209200566	0.3451668209200566	3.6070891514500536	3.8369597086327323	CDKN2A
gs_ind_0	oropharynx_cancer	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	CDKN2A
gs_ind_0	ovarian_cancer	4/14	0.0002353666849608079	0.010826867508197164	18.326063249727373	153.10263786514975	NRG1;ASNS;BRCA2;CDKN2A
gs_ind_0	ovarian_carcinoma	1/3	0.06807249238455089	0.09209807793203945	25.294736842105262	67.97156348885063	BRCA2
gs_ind_0	pancreatic_adenocarcinoma	1/7	0.1517155446999234	0.17021744039503603	9.724117987275882	18.3372353448811	BRCA2
gs_ind_0	pancreatic_cancer	2/12	0.030390879770284217	0.07282295843956384	10.078565431210267	35.21060442145169	BRCA2;CDKN2A
gs_ind_0	papillary_renal_cell_carcinoma	1/1	0.023223409196470042	0.06676730143985138	126.50375939849624	475.98234832200643	MET
gs_ind_0	papillary_thyroid_carcinoma	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	TERT
gs_ind_0	prostate_cancer	3/13	0.002971269215066283	0.028500254120880225	14.181434599156118	82.5184505022995	HOXB13;MKI67;BRCA2
gs_ind_0	renal_cell_carcinoma	1/11	0.22788556216130107	0.23824399680499656	6.016827783745077	8.898356984466986	CDKN2A
gs_ind_0	skin_melanoma	3/14	0.0037174244505495946	0.028500254120880225	12.94672537149147	72.43335777882561	TERT;MET;CDKN2A
gs_ind_0	stomach_carcinoma	1/6	0.13153271207322637	0.15126261888421033	11.493506493506494	23.314574442845014	MET
gs_ind_0	thyroid_cancer	1/4	0.08972256806385041	0.10861152976150314	18.065520945220193	43.55656619727383	TERT
gs_ind_0	triple-receptor_negative_breast_cancer	1/2	0.04591012597276851	0.07282295843956384	42.16290726817043	129.9068508541505	BRCA2
gs_ind_0	uveal_melanoma	1/4	0.08972256806385041	0.10861152976150314	18.065520945220193	43.55656619727383	MET
