Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_h3_k27m-mutant	1/2	0.08756576706534855	0.2084899215841632	21.346644010195412	51.986872771109944	H3C2
gs_ind_0	acral_lentiginous_melanoma	1/2	0.08756576706534855	0.2084899215841632	21.346644010195412	51.986872771109944	TERT
gs_ind_0	acute_lymphoblastic_leukemia	1/3	0.128434494304779	0.2293473112585339	12.80696686491079	26.28420268971201	CDKN2A
gs_ind_0	b-cell_lymphoma	1/1	0.04478406326034063	0.1599430830726451	64.04502973661852	198.91764574430465	EZH2
gs_ind_0	biliary_tract_cancer	1/2	0.08756576706534855	0.2084899215841632	21.346644010195412	51.986872771109944	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma	1/3	0.128434494304779	0.2293473112585339	12.80696686491079	26.28420268971201	CDKN2A
gs_ind_0	brain_glioblastoma_multiforme	1/2	0.08756576706534855	0.2084899215841632	21.346644010195412	51.986872771109944	H3C2
gs_ind_0	brain_glioma	1/5	0.2047708106374123	0.30113354505501805	7.113848768054376	11.28159610895351	TERT
gs_ind_0	breast_cancer	3/45	0.3274947321302205	0.38987468110740536	1.7581966802066096	1.9626456082907842	MKI67;TOP2A;CCNE1
gs_ind_0	cancer	1/43	0.8610156219742087	0.8610156219742087	0.7509520715677945	0.11237444354183222	EZH2
gs_ind_0	castration-resistant_prostate_carcinoma	1/12	0.4230788298673387	0.4700875887414874	2.7821284769679733	2.39317789698992	CHEK1
gs_ind_0	cervical_adenocarcinoma	1/1	0.04478406326034063	0.1599430830726451	64.04502973661852	198.91764574430465	AURKA
gs_ind_0	childhood_low-grade_glioma	2/6	0.026635117120045588	0.1599430830726451	11.87659574468085	43.05889171593961	TERT;CDKN2A
gs_ind_0	cholangiocarcinoma	1/5	0.2047708106374123	0.30113354505501805	7.113848768054376	11.28159610895351	CDKN2A
gs_ind_0	colorectal_cancer	4/43	0.12506448734813388	0.2293473112585339	2.43696289009718	5.0662649671952025	PTP4A3;CDX2;EZH2;DCC
gs_ind_0	dermatofibrosarcoma_protuberans	1/1	0.04478406326034063	0.1599430830726451	64.04502973661852	198.91764574430465	CDKN2A
gs_ind_0	diffuse_large_b-cell_lymphoma	1/5	0.2047708106374123	0.30113354505501805	7.113848768054376	11.28159610895351	EZH2
gs_ind_0	diffuse_large_b-cell_lymphoma_germinal_center_b-cell_type	1/1	0.04478406326034063	0.1599430830726451	64.04502973661852	198.91764574430465	EZH2
gs_ind_0	diffuse_midline_glioma	1/2	0.08756576706534855	0.2084899215841632	21.346644010195412	51.986872771109944	H3C2
gs_ind_0	esophagus_adenocarcinoma	1/1	0.04478406326034063	0.1599430830726451	64.04502973661852	198.91764574430465	AURKA
gs_ind_0	esophagus_squamous_cell_carcinoma	2/5	0.01829497954633657	0.1599430830726451	15.27112462006079	61.101733448637354	AURKA;CDKN2A
gs_ind_0	estrogen-receptor_positive_breast_cancer	1/8	0.3069427493457575	0.3743204260314116	4.267289719626168	5.040070424937221	CCNE1
gs_ind_0	ewing_sarcoma	1/2	0.08756576706534855	0.2084899215841632	21.346644010195412	51.986872771109944	CDKN2A
gs_ind_0	follicular_lymphoma	1/3	0.128434494304779	0.2293473112585339	12.80696686491079	26.28420268971201	EZH2
gs_ind_0	gastric_adenocarcinoma	1/12	0.4230788298673387	0.4700875887414874	2.7821284769679733	2.39317789698992	PBK
gs_ind_0	gastric_adenosquamous_carcinoma	1/1	0.04478406326034063	0.1599430830726451	64.04502973661852	198.91764574430465	CCNE1
gs_ind_0	glioblastoma	1/16	0.5197813471303244	0.5529588799258771	2.063502069230137	1.3502464754167722	TERT
