Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	breast_cancer-Elacestrant	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	ESR1
gs_ind_0	breast_cancer-Fulvestrant	1/4	0.0687221029836467	0.07595600856087267	23.913915458191916	64.03391835497997	ESR1
gs_ind_0	breast_cancer-Fulvestrant-Tamoxifen	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	ESR1
gs_ind_0	breast_cancer-Hormone Therapy	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	ESR1
gs_ind_0	breast_cancer-Lapatinib	1/3	0.051995581956489165	0.06422983653448662	33.48207343412527	98.9929820115165	ERBB4
gs_ind_0	breast_cancer-Palbociclib	1/4	0.0687221029836467	0.07595600856087267	23.913915458191916	64.03391835497997	ESR1
gs_ind_0	breast_cancer-Palbociclib-Letrozole	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	ESR1
gs_ind_0	breast_cancer-Tamoxifen	1/6	0.10129867078956706	0.10129867078956706	15.21559002552523	34.83886243859753	ESR1
gs_ind_0	breast_cancer-Tamoxifen-Fulvestrant	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	ESR1
gs_ind_0	breast_cancer-Trastuzumab	1/5	0.0851547522160618	0.0894124898268649	18.598272138228943	45.812845964907545	ERBB4
gs_ind_0	breast_cancer-Vandetanib	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	RET
gs_ind_0	colon_adenocarcinoma-Irbesartan	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	FOS
gs_ind_0	estrogen-receptor_positive_breast_cancer-Aromatase Inhibitor	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	ESR1
gs_ind_0	glioblastoma-MET Tyrosine Kinase Inhibitor SGX523	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	HGF
gs_ind_0	medullary_thyroid_carcinoma-Cabozantinib	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	RET
gs_ind_0	medullary_thyroid_carcinoma-JAK2 Inhibitor AZD1480	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	RET
gs_ind_0	medullary_thyroid_carcinoma-Motesanib	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	RET
gs_ind_0	medullary_thyroid_carcinoma-Selpercatinib	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	RET
gs_ind_0	medullary_thyroid_carcinoma-Sorafenib	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	RET
gs_ind_0	melanoma-Lapatinib	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	ERBB4
gs_ind_0	papillary_adenocarcinoma-Sunitinib	1/1	0.017639902676399026	0.023152372262773724	167.4362850971922	676.0393626273162	RET
