Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_bcr-abl1_negative-diagnostic	1/1	0.061819252281424784	0.27200471003826904	45.55169128156265	126.79497467615464	CSF3R
gs_ind_0	angiosarcoma-diagnostic	1/1	0.061819252281424784	0.27200471003826904	45.55169128156265	126.79497467615464	PTPRB
gs_ind_0	angiosarcoma-predictive	1/2	0.1198202994496127	0.3295058234864349	15.182944259171034	32.214596654587254	PTPRB
gs_ind_0	atypical_chronic_myeloid_leukemia-diagnostic	1/1	0.061819252281424784	0.27200471003826904	45.55169128156265	126.79497467615464	CSF3R
gs_ind_0	breast_cancer-predictive	2/38	0.6902740941920147	0.793237233111606	1.0386331419313959	0.3849865346751002	PGR;ERBB4
gs_ind_0	breast_cancer-prognostic	1/15	0.6161860655213909	0.793237233111606	1.569368007754103	0.7598978867936307	PGR
gs_ind_0	cancer-predictive	2/44	0.7651085777136579	0.796271274173909	0.8916659653847233	0.23873243742831088	ROBO4;NTRK3
gs_ind_0	chronic_lymphocytic_leukemia-predictive	1/3	0.1742387582365118	0.42591696457813993	9.10919485469271	15.916758027663505	BTK
gs_ind_0	chronic_lymphocytic_leukemia-prognostic	1/10	0.47181104002739127	0.6919895253735072	2.3961034076377223	1.799897080508127	BTK
gs_ind_0	chronic_neutrophilic_leukemia-diagnostic	1/1	0.061819252281424784	0.27200471003826904	45.55169128156265	126.79497467615464	CSF3R
gs_ind_0	chronic_neutrophilic_leukemia-predictive	1/1	0.061819252281424784	0.27200471003826904	45.55169128156265	126.79497467615464	CSF3R
gs_ind_0	colorectal_cancer-prognostic	1/14	0.590873294263144	0.793237233111606	1.6857233603303161	0.8869495438880761	EPAS1
gs_ind_0	gastrointestinal_stromal_tumor-predictive	1/4	0.22529571877423776	0.49565058130332307	6.506159395630572	9.696398923894613	NTRK3
gs_ind_0	head_and_neck_squamous_cell_carcinoma-predictive	1/20	0.7211247573741872	0.793237233111606	1.1665994796056731	0.3814116769888093	ALDH1A2
gs_ind_0	head_and_neck_squamous_cell_carcinoma-prognostic	1/7	0.36030902219355626	0.6605665406881865	3.5026569428665666	3.575488461926681	ALDH1A2
gs_ind_0	lung_adenocarcinoma-predictive	1/17	0.6622141195058611	0.793237233111606	1.378968339902118	0.5683643225730804	ROS1
gs_ind_0	lung_non-small_cell_carcinoma-predictive	2/47	0.796271274173909	0.796271274173909	0.8327175923742447	0.18970585350085217	NTRK3;ROS1
gs_ind_0	melanoma-predictive	2/25	0.4631284491827091	0.6919895253735072	1.6145151635061232	1.2427743957642718	PREX2;ERBB4
gs_ind_0	meningioma-prognostic	1/2	0.1198202994496127	0.3295058234864349	15.182944259171034	32.214596654587254	LEPR
gs_ind_0	ovarian_cancer-prognostic	1/5	0.2731986394083023	0.5463972788166046	5.060028585040495	6.565671116093544	ABCG2
gs_ind_0	renal_cell_carcinoma-predictive	1/9	0.43698758103133195	0.6919895253735072	2.678166073480369	2.217121131002649	EPAS1
gs_ind_0	rhabdomyosarcoma-predictive	1/2	0.1198202994496127	0.3295058234864349	15.182944259171034	32.214596654587254	IL6
