Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_h3_k27m-mutant-diagnostic	1/3	0.2467858502293031	0.3564684503312156	6.057824240444299	8.47631559108045	H3C2
gs_ind_0	acral_lentiginous_melanoma-prognostic	1/1	0.09013835737415367	0.2712360263855845	30.293041489709246	72.8974623684264	TERT
gs_ind_0	acute_lymphoblastic_leukemia-prognostic	1/4	0.31469133034347907	0.4211310450184793	4.326737294068232	5.002413675034244	CDKN2A
gs_ind_0	b-cell_lymphoma-oncogenic	1/1	0.09013835737415367	0.2712360263855845	30.293041489709246	72.8974623684264	EZH2
gs_ind_0	basal_cell_carcinoma-predictive	1/1	0.09013835737415367	0.2712360263855845	30.293041489709246	72.8974623684264	SMO
gs_ind_0	biliary_tract_cancer-predictive	1/3	0.2467858502293031	0.3564684503312156	6.057824240444299	8.47631559108045	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma-predictive	1/2	0.17215662014265173	0.30127408524964056	10.09702711532179	17.764211059607593	CDKN2A
gs_ind_0	brain_glioblastoma_multiforme-diagnostic	1/2	0.17215662014265173	0.30127408524964056	10.09702711532179	17.764211059607593	H3C2
gs_ind_0	brain_glioma-diagnostic	1/1	0.09013835737415367	0.2712360263855845	30.293041489709246	72.8974623684264	TERT
gs_ind_0	brain_glioma-predisposing	1/1	0.09013835737415367	0.2712360263855845	30.293041489709246	72.8974623684264	TERT
gs_ind_0	breast_cancer-predictive	3/38	0.6782503659383352	0.7176835267487035	0.9945910332785065	0.3861388172263277	TOP2A;BRCA1;CCNE1
gs_ind_0	breast_cancer-predisposing	1/4	0.31469133034347907	0.4211310450184793	4.326737294068232	5.002413675034244	BRCA1
gs_ind_0	breast_cancer-prognostic	2/15	0.3972951461085369	0.4820514439450248	1.8695894325184943	1.7257728235956806	MKI67;CCNE1
gs_ind_0	cancer-predictive	5/44	0.36403802551914893	0.46296677836788536	1.4061330005348547	1.4208931098669575	SMO;UGT1A1;BRCA1;SLCO1B1;CBLC
gs_ind_0	cancer-predisposing	1/2	0.17215662014265173	0.30127408524964056	10.09702711532179	17.764211059607593	CHEK2
gs_ind_0	cancer-prognostic	1/3	0.2467858502293031	0.3564684503312156	6.057824240444299	8.47631559108045	EZH2
gs_ind_0	castration-resistant_prostate_carcinoma-predictive	5/13	0.0041056677453851715	0.24630953637155392	6.547523169110422	35.98117293935369	BRIP1;BRCA1;RAD54L;CHEK1;CHEK2
gs_ind_0	cervical_adenocarcinoma-predictive	1/1	0.09013835737415367	0.2712360263855845	30.293041489709246	72.8974623684264	AURKA
gs_ind_0	childhood_low-grade_glioma-prognostic	2/6	0.09537970158613962	0.2712360263855845	5.612037339726127	13.187667589051964	TERT;CDKN2A
gs_ind_0	cholangiocarcinoma-predictive	1/6	0.4326982346175875	0.5113706409116944	2.7530218882718067	2.306246937387846	CDKN2A
gs_ind_0	colorectal_cancer-predictive	1/36	0.9667712007428559	0.9667712007428559	0.4256962881503329	0.014385732956751236	DKK1
gs_ind_0	colorectal_cancer-prognostic	3/14	0.1258683708392906	0.30127408524964056	3.0750380452560764	6.373073525938343	CDX2;THBS2;EZH2
