Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_bcr-abl1_negative-prognostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	SETBP1
gs_ind_0	adenosquamous_lung_carcinoma-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	FGFR1
gs_ind_0	atypical_chronic_myeloid_leukemia-prognostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	SETBP1
gs_ind_0	bladder_carcinoma-predictive	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	FGFR1
gs_ind_0	breast_cancer-predictive	3/6	0.006572976665678554	0.12620508326029797	12.893048128342246	64.7848397039383	FGFR1;BRCA2;RET
gs_ind_0	breast_cancer-predisposing	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	BRCA2
gs_ind_0	breast_cancer-prognostic	1/3	0.20514388291043995	0.21882014177113593	7.5801047120418845	12.007216949067365	FGFR1
gs_ind_0	cancer-oncogenic	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	RET
gs_ind_0	cancer-predictive	2/10	0.16414718961002683	0.19697662753203218	3.736383442265795	6.75161407760106	ALK;BRCA2
gs_ind_0	cancer-prognostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	FGFR1
gs_ind_0	castration-resistant_prostate_carcinoma-predictive	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	BRCA2
gs_ind_0	childhood_low-grade_glioma-diagnostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	FGFR1
gs_ind_0	chronic_myeloid_leukemia-oncogenic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	SETBP1
gs_ind_0	colorectal_cancer-predictive	1/7	0.4152534646429013	0.4152534646429013	2.905759162303665	2.5537734753508636	FGFR1
gs_ind_0	epithelial_ovarian_cancer-prognostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	BRCA2
gs_ind_0	estrogen-receptor_positive_breast_cancer-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	FGFR1
gs_ind_0	ewing_sarcoma_of_bone-predictive	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	FGFR1
gs_ind_0	gastric_adenocarcinoma-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	FGFR1
gs_ind_0	glioblastoma-predictive	1/3	0.20514388291043995	0.21882014177113593	7.5801047120418845	12.007216949067365	BRCA2
gs_ind_0	head_and_neck_squamous_cell_carcinoma-predictive	1/4	0.26379583313380484	0.2694085104345241	5.409872849663426	7.209087465989279	FGFR1
gs_ind_0	head_and_neck_squamous_cell_carcinoma-prognostic	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	FGFR1
gs_ind_0	her2-receptor_negative_breast_cancer-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	BRCA2
gs_ind_0	inflammatory_myofibroblastic_tumor-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	ALK
gs_ind_0	lung_adenocarcinoma-predictive	1/3	0.20514388291043995	0.21882014177113593	7.5801047120418845	12.007216949067365	ALK
gs_ind_0	lung_adenocarcinoma-prognostic	1/3	0.20514388291043995	0.21882014177113593	7.5801047120418845	12.007216949067365	RET
gs_ind_0	lung_cancer-predictive	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	FGFR1
gs_ind_0	lung_non-small_cell_carcinoma-predictive	2/7	0.08834026018369141	0.1462183616833513	5.788840788840789	14.04696561194818	ALK;FGFR1
gs_ind_0	lung_non-small_cell_carcinoma-prognostic	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	FGFR1
gs_ind_0	lung_squamous_cell_carcinoma-predictive	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	FGFR1
gs_ind_0	lung_squamous_cell_carcinoma-prognostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	FGFR1
gs_ind_0	medullary_thyroid_carcinoma-diagnostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	RET
gs_ind_0	medullary_thyroid_carcinoma-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	RET
gs_ind_0	medullary_thyroid_carcinoma-predisposing	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	RET
gs_ind_0	medullary_thyroid_carcinoma-prognostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	RET
gs_ind_0	mucosal_melanoma-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	ALK
gs_ind_0	neuroblastoma-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	ALK
gs_ind_0	ovarian_cancer-predictive	1/3	0.20514388291043995	0.21882014177113593	7.5801047120418845	12.007216949067365	BRCA2
gs_ind_0	ovarian_cancer-prognostic	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	BRCA2
gs_ind_0	ovarian_carcinoma-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	BRCA2
gs_ind_0	pancreatic_adenocarcinoma-predictive	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	BRCA2
gs_ind_0	pancreatic_cancer-predictive	1/2	0.1418717541868929	0.1746113897684836	12.643979057591624	24.691563990058867	BRCA2
gs_ind_0	papillary_adenocarcinoma-predictive	1/1	0.0736196319018405	0.12620508326029797	37.96335078534032	99.04044287139814	RET
