Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	adenosquamous_lung_carcinoma-Pazopanib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	bladder_carcinoma-Infigratinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	bladder_carcinoma-PD173074	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	bladder_carcinoma-PD173074-Dovitinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Afimoxifene	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Dovitinib	1/2	0.12185777041183865	0.12185777041183865	14.987730061349692	31.547683956736037	FGFR1
gs_ind_0	breast_cancer-Erdafitinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Everolimus	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Everolimus-Endocrine Drug Therapy	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Fexagratinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Futibatinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Infigratinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Lucitanib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Lucitanib-Rogaratinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Pazopanib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Pemigatinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Rogaratinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Rogaratinib-Palbociclib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Rogaratinib-Palbociclib-Fulvestrant	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Sunitinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	FGFR1
gs_ind_0	breast_cancer-Vandetanib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	RET
gs_ind_0	cancer-ALK Inhibitor TAE684	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	ALK
gs_ind_0	cancer-Alectinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	ALK
gs_ind_0	cancer-Brigatinib	1/1	0.06288343558282208	0.0648797351251339	45.0	124.49126228500553	ALK
