Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acute_myeloid_leukemia-Ponatinib	1/2	0.10658660175757158	0.10876183852813427	17.261569416498993	38.645157803710816	KIT
gs_ind_0	acute_myeloid_leukemia-Selumetinib	1/2	0.10658660175757158	0.10876183852813427	17.261569416498993	38.645157803710816	KIT
gs_ind_0	acute_myeloid_leukemia-Sorafenib	1/2	0.10658660175757158	0.10876183852813427	17.261569416498993	38.645157803710816	KIT
gs_ind_0	acute_myeloid_leukemia-Sorafenib-Sunitinib	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	KIT
gs_ind_0	bile_duct_adenocarcinoma-Gemcitabine	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	MAGEH1
gs_ind_0	breast_cancer-Dactolisib	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	AR
gs_ind_0	breast_cancer-Exemestane	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	PGR
gs_ind_0	breast_cancer-Exemestane-Tamoxifen	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	PGR
gs_ind_0	breast_cancer-Tamoxifen	1/4	0.20182609662101744	0.2038647440616338	7.396665708536936	11.837245535875677	PGR
gs_ind_0	cancer-ACLY SiRNA	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	PRKAA2
gs_ind_0	cancer-Capecitabine	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
gs_ind_0	cancer-Capecitabine-Tegafur	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
gs_ind_0	cancer-Capecitabine-Tegafur-Fluorouracil	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
gs_ind_0	cancer-Dasatinib	2/2	0.002998414768318953	0.06297989455510951	86.43049026192075	502.1327595089469	DDR2;KIT
gs_ind_0	cancer-Dasatinib-Imatinib	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	KIT
gs_ind_0	cancer-Entrectinib	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	NTRK3
gs_ind_0	cancer-Fluorouracil	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
gs_ind_0	cancer-Fluorouracil-Capecitabine	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
gs_ind_0	cancer-Fluorouracil-Capecitabine-Tegafur	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
gs_ind_0	cancer-Fluorouracil-Tegafur	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
gs_ind_0	cancer-Fluorouracil-Tegafur-Capecitabine	1/1	0.05479250826294527	0.06297989455510951	51.7887323943662	150.40493009341372	DPYD
