Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_bcr-abl1_negative-prognostic	1/1	0.024384869629085565	0.0894111886399804	120.21266968325791	446.4449034040551	SETBP1
gs_ind_0	atypical_chronic_myeloid_leukemia-prognostic	1/1	0.024384869629085565	0.0894111886399804	120.21266968325791	446.4449034040551	SETBP1
gs_ind_0	breast_cancer-predictive	2/33	0.19190565973190962	0.2638702821313757	3.182407607521072	5.253363760250836	FGFR2;PGR
gs_ind_0	breast_cancer-prognostic	1/12	0.25648510474984004	0.3134817946942489	5.222309659649813	7.105916785745117	PGR
gs_ind_0	cancer-predictive	1/38	0.6091388587672971	0.6091388587672971	1.598371040723982	0.7923269520247286	UGT1A1
gs_ind_0	cholangiocarcinoma-predictive	1/6	0.13769838514296323	0.25244703942876595	10.924310983134513	21.65951778078009	FGFR2
gs_ind_0	chronic_myeloid_leukemia-oncogenic	1/1	0.024384869629085565	0.0894111886399804	120.21266968325791	446.4449034040551	SETBP1
gs_ind_0	endometrial_cancer-predictive	1/8	0.17925946367977047	0.2638702821313757	8.009954751131222	13.768479470130814	FGFR2
gs_ind_0	head_and_neck_squamous_cell_carcinoma-predictive	1/19	0.3746033463806283	0.4120636810186912	3.2445884798825975	3.185821052094006	FGFR2
gs_ind_0	stomach_carcinoma-predictive	1/6	0.13769838514296323	0.25244703942876595	10.924310983134513	21.65951778078009	FGFR2
gs_ind_0	transitional_cell_carcinoma-predictive	1/5	0.11613759766498939	0.25244703942876595	13.352941176470589	28.7486100073184	FGFR2
