Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acral_lentiginous_melanoma	1/2	0.027980896670628867	0.08903012577018275	70.11515151515151	250.7481371179838	TERT
gs_ind_0	acute_lymphoblastic_leukemia	1/4	0.05518193159757231	0.10729820032861283	30.045887445887445	87.04653258609903	CDKN2A
gs_ind_0	acute_myeloid_leukemia	1/16	0.2031824569933625	0.2539780712417031	6.7798631476050835	10.804735011795852	WT1
gs_ind_0	biliary_tract_cancer	1/3	0.04167752949027002	0.10419382372567504	42.06666666666667	133.67916545261684	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma	1/4	0.05518193159757231	0.10729820032861283	30.045887445887445	87.04653258609903	CDKN2A
gs_ind_0	brain_glioma	1/5	0.06849679015898852	0.11416131693164754	23.367676767676766	62.64800285078678	TERT
gs_ind_0	breast_cancer	2/49	0.1515380198126467	0.21215322773770537	3.6954200918116795	6.972957385193254	TOP2A;CCNE1
gs_ind_0	cancer	1/49	0.501545148037126	0.5291260083227145	2.162636676038738	1.4923526322305647	SLCO1B1
gs_ind_0	childhood_b-cell_acute_lymphoblastic_leukemia	1/5	0.06849679015898852	0.11416131693164754	23.367676767676766	62.64800285078678	CDK6
gs_ind_0	childhood_low-grade_glioma	2/8	0.005234583105810892	0.08218763019353861	27.06896551724138	142.17887716953504	TERT;CDKN2A
gs_ind_0	cholangiocarcinoma	1/6	0.08162475492801563	0.11903610093668945	19.117906336088154	47.90225997370903	CDKN2A
gs_ind_0	colon_cancer	1/2	0.027980896670628867	0.08903012577018275	70.11515151515151	250.7481371179838	BIRC7
gs_ind_0	colorectal_cancer	1/51	0.5155310201257511	0.5291260083227145	2.0767476747674767	1.3759653757488906	THBS2
gs_ind_0	dermatofibrosarcoma_protuberans	1/2	0.027980896670628867	0.08903012577018275	70.11515151515151	250.7481371179838	CDKN2A
gs_ind_0	esophagus_squamous_cell_carcinoma	1/6	0.08162475492801563	0.11903610093668945	19.117906336088154	47.90225997370903	CDKN2A
gs_ind_0	estrogen-receptor_positive_breast_cancer	2/9	0.006667893964874593	0.08218763019353861	23.45841784989858	117.53725824869555	CDK6;CCNE1
gs_ind_0	ewing_sarcoma	1/2	0.027980896670628867	0.08903012577018275	70.11515151515151	250.7481371179838	CDKN2A
gs_ind_0	gastric_adenosquamous_carcinoma	1/1	0.014089308033178049	0.08218763019353861	210.35757575757575	896.6153127215722	CCNE1
gs_ind_0	glioblastoma	1/17	0.21441927893500037	0.258781888369828	6.3685950413223145	9.806502329712613	TERT
gs_ind_0	glioblastoma_proneural_subtype	1/1	0.014089308033178049	0.08218763019353861	210.35757575757575	896.6153127215722	CDK6
gs_ind_0	head_and_neck_squamous_cell_carcinoma	1/22	0.26827959489991665	0.3028963168224866	4.8861169837914025	6.428789091412058	CDKN2A
gs_ind_0	hepatocellular_carcinoma	1/6	0.08162475492801563	0.11903610093668945	19.117906336088154	47.90225997370903	FGF19
gs_ind_0	her2-receptor_negative_breast_cancer	1/4	0.05518193159757231	0.10729820032861283	30.045887445887445	87.04653258609903	CDKN2A
gs_ind_0	lung_non-small_cell_carcinoma	1/53	0.5291260083227145	0.5291260083227145	1.9974025974025975	1.2714040277696708	CDKN2A
gs_ind_0	melanoma	1/27	0.3184610531573269	0.34831677689082635	3.963064608347627	4.5347568640806895	CDKN2A
gs_ind_0	oropharynx_cancer	1/1	0.014089308033178049	0.08218763019353861	210.35757575757575	896.6153127215722	CDKN2A
gs_ind_0	ovarian_cancer	2/21	0.03481923951775472	0.10155611526011794	9.016227180527384	30.272750808338014	CDKN2A;CCNE1
gs_ind_0	ovarian_carcinoma	1/5	0.06849679015898852	0.11416131693164754	23.367676767676766	62.64800285078678	CCNE1
gs_ind_0	ovarian_serous_cystadenocarcinoma	1/1	0.014089308033178049	0.08218763019353861	210.35757575757575	896.6153127215722	CCNE1
gs_ind_0	pancreatic_cancer	1/15	0.1917855626704115	0.24861091457275564	7.247857889237199	11.968948660165328	CDKN2A
gs_ind_0	papillary_thyroid_carcinoma	1/3	0.04167752949027002	0.10419382372567504	42.06666666666667	133.67916545261684	TERT
gs_ind_0	prostate_cancer	1/18	0.2254982677791358	0.2630813124089918	6.004329004329004	8.943104614883921	ETV4
gs_ind_0	renal_cell_carcinoma	1/13	0.1685024411039115	0.22683020917834237	8.408484848484848	14.973872214023846	CDKN2A
gs_ind_0	skin_melanoma	2/18	0.02607646858469974	0.08903012577018275	10.657385211137747	38.86452066560394	TERT;CDKN2A
gs_ind_0	thyroid_cancer	1/4	0.05518193159757231	0.10729820032861283	30.045887445887445	87.04653258609903	TERT
