Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	acute_myeloid_leukemia-Daunorubicin	1/3	0.045978642389700515	0.05069440058351596	38.010603290676414	117.05662853886648	WT1
gs_ind_0	acute_myeloid_leukemia-Daunorubicin-Cytarabine	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	WT1
gs_ind_0	biliary_tract_cancer-Palbociclib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma-Immune Checkpoint Inhibitor	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	breast_cancer-Doxorubicin	1/2	0.030891383242452327	0.037952270840727144	63.354661791590495	220.3017712293851	TOP2A
gs_ind_0	breast_cancer-Fulvestrant	1/4	0.06083186427646805	0.06379927228995429	27.14886393314181	76.00708733417737	CCNE1
gs_ind_0	breast_cancer-Fulvestrant-Palbociclib	1/2	0.030891383242452327	0.037952270840727144	63.354661791590495	220.3017712293851	CCNE1
gs_ind_0	cancer-Methotrexate	1/2	0.030891383242452327	0.037952270840727144	63.354661791590495	220.3017712293851	SLCO1B1
gs_ind_0	cholangiocarcinoma-Palbociclib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	colon_cancer-Cisplatin	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	BIRC7
gs_ind_0	dermatofibrosarcoma_protuberans-Palbociclib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	estrogen-receptor_positive_breast_cancer-Palbociclib	1/3	0.045978642389700515	0.05069440058351596	38.010603290676414	117.05662853886648	CCNE1
gs_ind_0	ewing_sarcoma-Palbociclib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	ewing_sarcoma-Palbociclib-Linsitinib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Afatinib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Cetuximab	1/5	0.0754546662532977	0.0754546662532977	21.114564290067033	54.56474795293635	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	head_and_neck_squamous_cell_carcinoma-Panitumumab	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	hepatocellular_carcinoma-Fisogatinib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	FGF19
gs_ind_0	her2-receptor_negative_breast_cancer-Letrozole	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	her2-receptor_negative_breast_cancer-Letrozole-Palbociclib	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	CDKN2A
gs_ind_0	lung_adenocarcinoma-Crizotinib	1/3	0.045978642389700515	0.05069440058351596	38.010603290676414	117.05662853886648	ROS1
gs_ind_0	lung_adenocarcinoma-DS-6501b	1/1	0.015566412907624134	0.023081232931994405	190.07495429616088	791.2135515929061	ROS1
