Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	biliary_tract_cancer-Palbociclib	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	CDKN2A
gs_ind_0	bladder_urothelial_carcinoma-Immune Checkpoint Inhibitor	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	CDKN2A
gs_ind_0	breast_cancer-Aminoglutethimide	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	TFF3
gs_ind_0	breast_cancer-Aminoglutethimide-Tamoxifen	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	TFF3
gs_ind_0	breast_cancer-Dovitinib	1/3	0.16749037695197544	0.18144790836464006	9.52643780650914	17.022118963227406	FGF3
gs_ind_0	breast_cancer-Doxorubicin	1/2	0.11503189121346692	0.130667293902676	15.878288007133303	34.33752621861137	TOP2A
gs_ind_0	breast_cancer-Epirubicin	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	FOXP3
gs_ind_0	breast_cancer-Fulvestrant	1/4	0.2168418746568354	0.22856305707071842	6.804216291955926	10.400835747676092	CCNE1
gs_ind_0	breast_cancer-Fulvestrant-Palbociclib	1/2	0.11503189121346692	0.130667293902676	15.878288007133303	34.33752621861137	CCNE1
gs_ind_0	breast_cancer-Monomethyl Auristatin E	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	ABCC3
gs_ind_0	breast_cancer-Monomethyl Auristatin E-Paclitaxel	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	ABCC3
gs_ind_0	breast_cancer-Olaparib	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	BRCA2
gs_ind_0	breast_cancer-Quarfloxin	1/2	0.11503189121346692	0.130667293902676	15.878288007133303	34.33752621861137	BRCA2
gs_ind_0	breast_cancer-Quarfloxin-Pidnarulex	1/2	0.11503189121346692	0.130667293902676	15.878288007133303	34.33752621861137	BRCA2
gs_ind_0	breast_cancer-Talazoparib	1/2	0.11503189121346692	0.130667293902676	15.878288007133303	34.33752621861137	BRCA2
gs_ind_0	breast_cancer-Taxane Compound	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	TUBB3
gs_ind_0	cancer-Methotrexate	1/2	0.11503189121346692	0.130667293902676	15.878288007133303	34.33752621861137	TYMS
gs_ind_0	cancer-Olaparib	2/4	0.01943588383739572	0.09371225425108154	15.891566265060241	62.62285013747923	CBLC;BRCA2
gs_ind_0	cancer-Paclitaxel	1/2	0.11503189121346692	0.130667293902676	15.878288007133303	34.33752621861137	TUBB3
gs_ind_0	castration-resistant_prostate_carcinoma-Olaparib	4/13	0.005700007868277249	0.09371225425108154	7.538079664964826	38.95142651337	BRIP1;CHEK1;BRCA2;RAD54L
gs_ind_0	cervical_adenocarcinoma-Paclitaxel	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	AURKA
gs_ind_0	cholangiocarcinoma-Palbociclib	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	CDKN2A
gs_ind_0	colon_cancer-Cisplatin	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	BIRC7
gs_ind_0	colorectal_cancer-Irinotecan	2/7	0.060403221242473805	0.09422902513825913	7.222222222222222	20.270703870693055	TYMS;DKK1
gs_ind_0	colorectal_cancer-Irinotecan-Fluorouracil	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	TYMS
gs_ind_0	colorectal_cancer-Irinotecan-Oxaliplatin	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	DKK1
gs_ind_0	colorectal_cancer-Irinotecan-Oxaliplatin-Levoleucovorin	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	DKK1
gs_ind_0	colorectal_cancer-Irinotecan-Oxaliplatin-Levoleucovorin-Fluorouracil	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	DKK1
gs_ind_0	colorectal_cancer-MTOR Kinase Inhibitor PP242	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	EIF4EBP1
gs_ind_0	colorectal_cancer-MTOR Kinase Inhibitor PP242-WYE354	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	EIF4EBP1
gs_ind_0	colorectal_cancer-MTOR Kinase Inhibitor PP242-WYE354-Dactolisib	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	EIF4EBP1
gs_ind_0	dermatofibrosarcoma_protuberans-Palbociclib	1/1	0.05927099841521396	0.09371225425108154	47.63753901025412	134.6063050737217	CDKN2A
